"isolate","rep","b_mu","temp_min_mu"
"S12-0116","1",0,NA
"S12-0116","2",0,NA
"S12-0116","3",-0.337228228615817,10
"S12-0132","1",0,NA
"S12-0132","2",0,NA
"S12-0132","3",0,NA
"S12-0141","1",0,NA
"S12-0141","2",0,NA
"S12-0141","3",0,NA
"S12-0166","1",0.214124678057694,6
"S12-0166","2",0.214124678057694,6
"S12-0166","3",0.214124678057694,6
"S12-0180","1",0.190369026701286,6
"S12-0180","2",0.190369026701286,6
"S12-0180","3",0.190369026701286,6
"S12-0184","1",0,NA
"S12-0184","2",0,NA
"S12-0184","3",0,NA
