"plate_id","batch","temperature","day","isolate","biorep","media","dilution","time","platingrep","counted_colonies","concentration_from_sphereflash","dilution_factor"
"B2_6_2_S12-0116_2_BHI_-1_24_1","B2","6",2,"S12-0116",2,"BHI",-1,"24",1,177,161175.5,11
"B2_6_2_S12-0116_2_BHIrif_-1_24_2","B2","6",2,"S12-0116",2,"BHIrif",-1,"24",2,3,660,11
"B2_6_2_S12-0116_2_BHIrif_-1_24_1","B2","6",2,"S12-0116",2,"BHIrif",-1,"24",1,1,220,11
"B2_6_3_S12-0116_2_BHIrif_-1_24_1","B2","6",3,"S12-0116",2,"BHIrif",-1,"24",1,4,800,10
"B2_6_3_S12-0116_2_BHI_-3_24_1","B2","6",3,"S12-0116",2,"BHI",-3,"24",1,46,9200,10
"B2_6_3_S12-0116_2_BHIrif_-1_24_2","B2","6",3,"S12-0116",2,"BHIrif",-1,"24",2,2,400,10
"B2_6_3_S12-0132_2_BHIrif_-1_24_2","B2","6",3,"S12-0132",2,"BHIrif",-1,"24",2,170,37400,11
"B2_6_3_S12-0132_2_BHIrif_-1_24_1","B2","6",3,"S12-0132",2,"BHIrif",-1,"24",1,96,21120,11
"B2_6_3_S12-0132_2_BHI_-3_24_1","B2","6",3,"S12-0132",2,"BHI",-3,"24",1,50,1074000,1074
"B2_6_3_S12-0141_2_BHIrif_-1_24_1","B2","6",3,"S12-0141",2,"BHIrif",-1,"24",1,57,12540,11
"B2_6_3_S12-0141_2_BHIrif_-1_24_2","B2","6",3,"S12-0141",2,"BHIrif",-1,"24",2,55,12100,11
"B2_6_3_S12-0141_2_BHI_-1_24_1","B2","6",3,"S12-0141",2,"BHI",-1,"24",1,347,592701.875,11
"B2_6_4_S12-0116_2_BHIrif_-1_24_1","B2","6",4,"S12-0116",2,"BHIrif",-1,"24",1,16,3520,11
"B2_6_4_S12-0116_2_BHIrif_-1_24_2","B2","6",4,"S12-0116",2,"BHIrif",-1,"24",2,11,2420,11
"B2_6_4_S12-0132_2_BHI_-3_24_1","B2","6",4,"S12-0132",2,"BHI",-3,"24",1,229,35807920,1007
"B2_6_4_S12-0132_2_BHIrif_-1_24_2","B2","6",4,"S12-0132",2,"BHIrif",-1,"24",2,183,714843.75,10
"B2_6_4_S12-0132_2_BHIrif_-1_24_1","B2","6",4,"S12-0132",2,"BHIrif",-1,"24",1,181,707031.25,10
"B2_6_4_S12-0116_2_BHI_-3_24_1","B2","6",4,"S12-0116",2,"BHI",-3,"24",1,317,52275464,1062
"B2_6_4_S12-0141_2_BHIrif_-1_24_1","B2","6",4,"S12-0141",2,"BHIrif",-1,"24",1,117,25740,11
"B2_6_4_S12-0141_2_BHI_-3_24_1","B2","6",4,"S12-0141",2,"BHI",-3,"24",1,65,1444300,1111
"B2_6_4_S12-0141_2_BHIrif_-1_24_2","B2","6",4,"S12-0141",2,"BHIrif",-1,"24",2,84,18480,11
"B2_6_6_S12-0116_2_BHIrif_-1_24_1","B2","6",6,"S12-0116",2,"BHIrif",-1,"24",1,8,2710.712158,11
"B2_6_6_S12-0116_2_BHIrif_-1_24_2","B2","6",6,"S12-0116",2,"BHIrif",-1,"24",2,10,2200,11
"B2_6_6_S12-0116_2_BHI_-2_24_1","B2","6",6,"S12-0116",2,"BHI",-2,"24",1,224,1210216.125,110
"B2_6_6_S12-0132_2_BHIrif_-1_24_1","B2","6",6,"S12-0132",2,"BHIrif",-1,"24",1,175,159354.3125,11
"B2_6_6_S12-0132_2_BHIrif_-1_24_2","B2","6",6,"S12-0132",2,"BHIrif",-1,"24",2,218,198509.9375,11
"B2_6_6_S12-0132_2_BHI_-4_24_1","B2","6",6,"S12-0132",2,"BHI",-4,"24",1,177,61358540,11204
"B2_6_6_S12-0141_2_BHIrif_-1_24_1","B2","6",6,"S12-0141",2,"BHIrif",-1,"24",1,74,16280,11
"B2_6_6_S12-0141_2_BHIrif_-1_24_2","B2","6",6,"S12-0141",2,"BHIrif",-1,"24",2,66,14520,11
"B2_6_6_S12-0141_2_BHI_-4_24_1","B2","6",6,"S12-0141",2,"BHI",-4,"24",1,147,33213180,11297
"B2_6_9_S12-0116_2_BHIrif_-1_24_1","B2","6",9,"S12-0116",2,"BHIrif",-1,"24",1,175,54146.03906,10
"B2_6_9_S12-0116_2_BHIrif_-1_24_2","B2","6",9,"S12-0116",2,"BHIrif",-1,"24",2,206,63737.625,10
"B2_6_9_S12-0116_2_BHI_-4_24_1","B2","6",9,"S12-0116",2,"BHI",-4,"24",1,204,788348480,9893
"B2_6_9_S12-0132_2_BHIrif_-3_24_1","B2","6",9,"S12-0132",2,"BHIrif",-3,"24",1,194,10852947,1139
"B2_6_9_S12-0132_2_BHIrif_-3_24_2","B2","6",9,"S12-0132",2,"BHIrif",-3,"24",2,167,9342485,1139
"B2_6_9_S12-0132_2_BHI_-4_24_1","B2","6",9,"S12-0132",2,"BHI",-4,"24",1,196,109677208,11393
"B2_6_9_S12-0141_2_BHIrif_-1_24_1","B2","6",9,"S12-0141",2,"BHIrif",-1,"24",1,165,281832.2813,11
"B2_6_9_S12-0141_2_BHIrif_-1_24_2","B2","6",9,"S12-0141",2,"BHIrif",-1,"24",2,298,271357.625,11
"B2_6_9_S12-0141_2_BHI_-2_24_1","B2","6",9,"S12-0141",2,"BHI",-2,"24",1,326,5720186,113
"B2_6_12_S12-0116_2_BHIrif_-2_24_1","B2","6",12,"S12-0116",2,"BHIrif",-2,"24",1,42,99120,118
