"plate_id","batch","temperature","day","isolate","biorep","media","time","average_wrangled_conc","log_average_wrangled_conc","death_phase"
"B5_6_0_S12-0184_2_BHI_-1_24_1","B5",6,0,"S12-0184",2,"BHI",24,20160,4.30449052777349,"no"
"B5_6_0_S12-0180_2_BHI_-1_24_1","B5",6,0,"S12-0180",2,"BHI",24,29040,4.46299661202806,"no"
"B5_6_1_S12-0166_2_BHI_-1_24_1","B5",6,1,"S12-0166",2,"BHI",24,91355.59375,4.96073514457725,"no"
"B5_6_1_S12-0184_2_BHI_-3_24_1","B5",6,1,"S12-0184",2,"BHI",24,200800,5.30276370847298,"no"
"B5_6_1_S12-0180_2_BHI_-1_24_1","B5",6,1,"S12-0180",2,"BHI",24,117878.1875,5.07143344949889,"no"
"B5_6_2_S12-0166_2_BHI_-1_24_1","B5",6,2,"S12-0166",2,"BHI",24,377484.4688,5.57689908774477,"no"
"B5_6_2_S12-0180_2_BHI_-1_24_1","B5",6,2,"S12-0180",2,"BHI",24,95284.86719,4.97902393298114,"no"
"B5_6_2_S12-0184_2_BHI_-1_24_1","B5",6,2,"S12-0184",2,"BHI",24,319875.7813,5.50498135966543,"no"
"B5_6_3_S12-0166_2_BHI_-1_24_1","B5",6,3,"S12-0166",2,"BHI",24,187582.7813,5.27319297087888,"no"
"B5_6_3_S12-0180_2_BHI_-3_24_1","B5",6,3,"S12-0180",2,"BHI",24,22149504,7.34536400539092,"no"
"B5_6_3_S12-0184_2_BHI_-3_24_1","B5",6,3,"S12-0184",2,"BHI",24,19772268,7.29605648840276,"no"
"B5_6_4_S12-0166_2_BHI_-3_24_1","B5",6,4,"S12-0166",2,"BHI",24,188460,5.27521918678215,"no"
"B5_6_4_S12-0180_2_BHI_-3_24_1","B5",6,4,"S12-0180",2,"BHI",24,1850720,6.26734071823792,"no"
"B5_6_4_S12-0184_2_BHI_-3_24_1","B5",6,4,"S12-0184",2,"BHI",24,18109768,7.25791288670472,"no"
"B5_6_6_S12-0166_2_BHI_-4_24_1","B5",6,6,"S12-0166",2,"BHI",24,488149984,8.68855327941224,"no"
"B5_6_6_S12-0184_2_BHI_-4_24_1","B5",6,6,"S12-0184",2,"BHI",24,52324412,7.71870435661722,"no"
"B5_6_6_S12-0180_2_BHI_-2_24_1","B5",6,6,"S12-0180",2,"BHI",24,995776,5.99816165478422,"no"
"B5_6_9_S12-0166_2_BHI_-5_24_1","B5",6,9,"S12-0166",2,"BHI",24,432661984,8.63614873743506,"no"
