"plate_id","batch","temperature","day","isolate","biorep","media","time","average_wrangled_conc","log_average_wrangled_conc"
"B7_6_27_S12-0184_3_BHI_-6_36_1","B7","6",27,"S12-0184","3","BHI","36",7371331072,9.86754591730662
"B7_6_21_S12-0184_3_BHIrif_-3_36_1","B7","6",21,"S12-0184","3","BHIrif","36",3944240,6.59596333312122
"B8_10_18_S12-0116_1_BHI_-6_24_1","B8","10",18,"S12-0116","1","BHI","24",7125012480,9.85278562938095
"B8_10_18_S12-0116_1_BHIrif_-4_24_1","B8","10",18,"S12-0116","1","BHIrif","24",197301160,8.29512963862329
"B8_10_21_S12-0132_1_BHI_-6_24_1","B8","10",21,"S12-0132","1","BHI","24",7141214208,9.85377206037586
"B8_10_18_S12-0132_1_BHIrif_-4_24_2","B8","10",18,"S12-0132","1","BHIrif","24",293520640,8.46763864569585
"B8_10_24_S12-0141_1_BHI_-6_24_1","B8","10",24,"S12-0141","1","BHI","24",12277850112,10.0891223272094
"B8_10_18_S12-0141_1_BHIrif_-4_24_2","B8","10",18,"S12-0141","1","BHIrif","24",298876624,8.47549194894758
"B9_10_12_S12-0166_1_BHI_-6_24_1","B9","10",12,"S12-0166","1","BHI","24",7546373120,9.8777382744869
"B9_10_12_S12-0166_1_BHI_-6_36_1","B9","10",12,"S12-0166","1","BHI","36",6349591552,9.80274578947815
"B9_10_18_S12-0166_1_BHIrif_-5_36_1","B9","10",18,"S12-0166","1","BHIrif","36",161253120,8.20750812631924
"B9_10_18_S12-0180_1_BHI_-6_24_1","B9","10",18,"S12-0180","1","BHI","24",7447703040,9.87202235182661
"B9_10_18_S12-0180_1_BHI_-6_36_1","B9","10",18,"S12-0180","1","BHI","36",10234558464,10.0100691112111
"B9_10_15_S12-0180_1_BHIrif_-3_36_1","B9","10",15,"S12-0180","1","BHIrif","36",1328580,6.12338771043052
"B9_10_15_S12-0184_1_BHI_-6_24_1","B9","10",15,"S12-0184","1","BHI","24",10485134336,10.0205739990369
"B9_10_15_S12-0184_1_BHI_-6_36_1","B9","10",15,"S12-0184","1","BHI","36",11707328512,10.0684578049903
"B9_10_18_S12-0184_1_BHIrif_-3_36_2","B9","10",18,"S12-0184","1","BHIrif","36",38028804,7.58011266713212
