"plate_id","batch","temperature","day","isolate","biorep","media","time","average_wrangled_conc","log_average_wrangled_conc"
"B2_6_0_S12-0116_2_BHIrif_-1_24_1","B2","6",0,"S12-0116","2","BHIrif","24",1000,3
"B2_6_0_S12-0132_2_BHIrif_-1_24_2","B2","6",0,"S12-0132","2","BHIrif","24",4400,3.64345267648619
"B2_6_0_S12-0116_2_BHI_-1_24_1","B2","6",0,"S12-0116","2","BHI","24",11000,4.04139268515823
"B2_6_0_S12-0141_2_BHIrif_-1_24_2","B2","6",0,"S12-0141","2","BHIrif","24",2300,3.36172783601759
"B2_6_0_S12-0132_2_BHI_-1_24_1","B2","6",0,"S12-0132","2","BHI","24",4400,3.64345267648619
"B2_6_0_S12-0141_2_BHI_-1_24_1","B2","6",0,"S12-0141","2","BHI","24",7200,3.85733249643127
"B2_6_1_S12-0116_2_BHIrif_-1_24_1","B2","6",1,"S12-0116","2","BHIrif","24",1000,3
"B2_6_1_S12-0116_2_BHI_-1_24_1","B2","6",1,"S12-0116","2","BHI","24",13600,4.13353890837022
"B2_6_1_S12-0132_2_BHIrif_-1_24_1","B2","6",1,"S12-0132","2","BHIrif","24",9500,3.97772360528885
"B2_6_1_S12-0132_2_BHI_-1_24_1","B2","6",1,"S12-0132","2","BHI","24",48600,4.68663626926229
"B2_6_1_S12-0141_2_BHIrif_-1_24_1","B2","6",1,"S12-0141","2","BHIrif","24",440,2.64345267648619
"B2_6_1_S12-0141_2_BHI_-1_24_1","B2","6",1,"S12-0141","2","BHI","24",90766.20313,4.95792416871435
"B2_6_2_S12-0141_2_BHI_-1_24_1","B2","6",2,"S12-0141","2","BHI","24",129666.0078,5.11282613984858
"B2_6_2_S12-0141_2_BHIrif_-1_24_2","B2","6",2,"S12-0141","2","BHIrif","24",1600,3.20411998265592
"B2_6_2_S12-0132_2_BHI_-1_24_1","B2","6",2,"S12-0132","2","BHI","24",93811.39063,4.97225557385258
"B2_6_2_S12-0132_2_BHIrif_-1_24_2","B2","6",2,"S12-0132","2","BHIrif","24",6300,3.79934054945358
"B2_6_2_S12-0116_2_BHI_-1_24_1","B2","6",2,"S12-0116","2","BHI","24",161175.5,5.20729902615725
"B2_6_2_S12-0116_2_BHIrif_-1_24_2","B2","6",2,"S12-0116","2","BHIrif","24",440,2.64345267648619
"B2_6_3_S12-0116_2_BHIrif_-1_24_1","B2","6",3,"S12-0116","2","BHIrif","24",600,2.77815125038364
"B2_6_3_S12-0116_2_BHI_-3_24_1","B2","6",3,"S12-0116","2","BHI","24",9200,3.96378782734556
"B2_6_3_S12-0132_2_BHIrif_-1_24_2","B2","6",3,"S12-0132","2","BHIrif","24",29260,4.46627432178929
"B2_6_3_S12-0132_2_BHI_-3_24_1","B2","6",3,"S12-0132","2","BHI","24",1074000,6.03100428136354
"B2_6_3_S12-0141_2_BHIrif_-1_24_1","B2","6",3,"S12-0141","2","BHIrif","24",12320,4.09061070782841
"B2_6_3_S12-0141_2_BHI_-1_24_1","B2","6",3,"S12-0141","2","BHI","24",592701.875,5.77283630112271
"B2_6_4_S12-0116_2_BHIrif_-1_24_1","B2","6",4,"S12-0116","2","BHIrif","24",2970,3.47275644931721
"B2_6_4_S12-0132_2_BHI_-3_24_1","B2","6",4,"S12-0132","2","BHI","24",35807920,7.55397909457353
"B2_6_4_S12-0132_2_BHIrif_-1_24_2","B2","6",4,"S12-0132","2","BHIrif","24",710937.5,5.85183142267323
"B2_6_4_S12-0116_2_BHI_-3_24_1","B2","6",4,"S12-0116","2","BHI","24",52275464,7.71829789632941
"B2_6_4_S12-0141_2_BHIrif_-1_24_1","B2","6",4,"S12-0141","2","BHIrif","24",22110,4.34458874257871
"B2_6_4_S12-0141_2_BHI_-3_24_1","B2","6",4,"S12-0141","2","BHI","24",1444300,6.1596574112477
"B2_6_6_S12-0116_2_BHIrif_-1_24_1","B2","6",6,"S12-0116","2","BHIrif","24",2455.356079,3.39011448298893
