"day","prop_spoiled","variance","adj","param"
1,0,0.00781331540585349,1,"no_of_strains"
2,0,0.00984508308648589,1,"no_of_strains"
3,0,0.0517825678980735,1,"no_of_strains"
4,0.001,0.185711934499712,1,"no_of_strains"
5,0.004,0.41920428410477,1,"no_of_strains"
6,0.021,0.659974722192351,1,"no_of_strains"
7,0.032,0.838293424512772,1,"no_of_strains"
8,0.047,0.954474176200212,1,"no_of_strains"
9,0.178,1.02114318524391,1,"no_of_strains"
10,0.466,1.04958387424824,1,"no_of_strains"
11,0.574,1.03483866424506,1,"no_of_strains"
12,0.619,0.99907480130589,1,"no_of_strains"
13,0.637,0.967463707019625,1,"no_of_strains"
14,0.651,0.938607851545142,1,"no_of_strains"
15,0.659,0.911886810223822,1,"no_of_strains"
16,0.662,0.887175498353001,1,"no_of_strains"
17,0.666,0.864403385122767,1,"no_of_strains"
18,0.673,0.843470590121457,1,"no_of_strains"
19,0.684,0.824238107260091,1,"no_of_strains"
20,0.693,0.806541351170946,1,"no_of_strains"
21,0.698,0.790208431444324,1,"no_of_strains"
22,0.7,0.775074783892794,1,"no_of_strains"
1,0,0.0078066927419046,2,"no_of_strains"
2,0.001,0.0158749322297924,2,"no_of_strains"
3,0.002,0.0291011236839155,2,"no_of_strains"
4,0.002,0.0598076852262298,2,"no_of_strains"
5,0.009,0.148909111328308,2,"no_of_strains"
6,0.043,0.248764070776923,2,"no_of_strains"
7,0.081,0.300984827117826,2,"no_of_strains"
8,0.121,0.326573048286007,2,"no_of_strains"
9,0.168,0.339071078911694,2,"no_of_strains"
10,0.439,0.344094662606191,2,"no_of_strains"
11,0.866,0.34441251613197,2,"no_of_strains"
12,0.905,0.341658850391445,2,"no_of_strains"
13,0.917,0.337382396601112,2,"no_of_strains"
14,0.921,0.332154475148058,2,"no_of_strains"
15,0.923,0.326207104013992,2,"no_of_strains"
16,0.927,0.319760372699833,2,"no_of_strains"
17,0.927,0.312960186089178,2,"no_of_strains"
18,0.927,0.305898467493069,2,"no_of_strains"
19,0.928,0.298657422401018,2,"no_of_strains"
20,0.929,0.29132049956213,2,"no_of_strains"
21,0.935,0.2839677500114,2,"no_of_strains"
22,0.937,0.27667049081951,2,"no_of_strains"
1,0,0.0105837306358422,3,"no_of_strains"
2,0.001,0.0407205153847343,3,"no_of_strains"
3,0.005,0.0815996534892011,3,"no_of_strains"
4,0.012,0.102129385346484,3,"no_of_strains"
5,0.022,0.134483262409993,3,"no_of_strains"
6,0.059,0.167657068542164,3,"no_of_strains"
7,0.098,0.158934578641636,3,"no_of_strains"
8,0.135,0.141058229158998,3,"no_of_strains"
9,0.188,0.127608125966978,3,"no_of_strains"
10,0.283,0.120027892915864,3,"no_of_strains"
11,0.849,0.116714798962516,3,"no_of_strains"
12,0.984,0.116291676459002,3,"no_of_strains"
13,0.986,0.118057547265678,3,"no_of_strains"
14,0.986,0.120807707425776,3,"no_of_strains"
15,0.989,0.123771581886344,3,"no_of_strains"
16,0.99,0.126684280598179,3,"no_of_strains"
17,0.99,0.129434477300726,3,"no_of_strains"
18,0.99,0.131943191355932,3,"no_of_strains"
19,0.99,0.134158490411691,3,"no_of_strains"
20,0.99,0.13605774497306,3,"no_of_strains"
21,0.99,0.137641357904801,3,"no_of_strains"
22,0.99,0.138924296250586,3,"no_of_strains"
1,0,0.0100445187083885,4,"no_of_strains"
2,0.001,0.0449970601210352,4,"no_of_strains"
3,0.006,0.105524738809736,4,"no_of_strains"
4,0.013,0.141810126932936,4,"no_of_strains"
5,0.025,0.165505663700493,4,"no_of_strains"
6,0.067,0.184316644846499,4,"no_of_strains"
7,0.113,0.164112051005777,4,"no_of_strains"
8,0.146,0.137081673175622,4,"no_of_strains"
9,0.196,0.117296503553494,4,"no_of_strains"
10,0.251,0.106011252121632,4,"no_of_strains"
11,0.701,0.101064691453437,4,"no_of_strains"
12,0.998,0.100568892280294,4,"no_of_strains"
13,0.998,0.103466719947459,4,"no_of_strains"
14,0.999,0.107980899200283,4,"no_of_strains"
15,0.999,0.113029351129668,4,"no_of_strains"
16,0.999,0.118135475664139,4,"no_of_strains"
17,0.999,0.123056819996408,4,"no_of_strains"
18,0.999,0.127647666099017,4,"no_of_strains"
19,0.999,0.131825378033333,4,"no_of_strains"
20,0.999,0.135557406717019,4,"no_of_strains"
21,0.999,0.138847023926232,4,"no_of_strains"
22,0.999,0.141718995773978,4,"no_of_strains"
1,0,0.00973137554704866,5,"no_of_strains"
2,0,0.0656371224730923,5,"no_of_strains"
3,0.01,0.175221872763865,5,"no_of_strains"
4,0.027,0.248851429104281,5,"no_of_strains"
5,0.045,0.264391613278908,5,"no_of_strains"
6,0.08,0.255566931360499,5,"no_of_strains"
7,0.115,0.219664358148254,5,"no_of_strains"
8,0.155,0.183303338956671,5,"no_of_strains"
9,0.199,0.157125693461113,5,"no_of_strains"
10,0.267,0.141504120763761,5,"no_of_strains"
11,0.566,0.133865145284078,5,"no_of_strains"
12,1,0.131868705615326,5,"no_of_strains"
13,1,0.134068201704268,5,"no_of_strains"
14,1,0.138533060876741,5,"no_of_strains"
15,1,0.143979153306944,5,"no_of_strains"
16,1,0.149735672397569,5,"no_of_strains"
17,1,0.155418865222605,5,"no_of_strains"
18,1,0.160790732014924,5,"no_of_strains"
19,1,0.165708873702425,5,"no_of_strains"
20,1,0.170101321984831,5,"no_of_strains"
21,1,0.173946363714666,5,"no_of_strains"
22,1,0.177255401080443,5,"no_of_strains"
1,0,0.00783409562429187,6,"no_of_strains"
2,0,0.0942067002787623,6,"no_of_strains"
3,0.016,0.269348686732794,6,"no_of_strains"
4,0.049,0.394678782325963,6,"no_of_strains"
5,0.075,0.406177603116158,6,"no_of_strains"
6,0.106,0.361414426754411,6,"no_of_strains"
7,0.135,0.305093833295709,6,"no_of_strains"
8,0.178,0.256609602537567,6,"no_of_strains"
9,0.223,0.222177303018212,6,"no_of_strains"
10,0.286,0.200849815348505,6,"no_of_strains"
11,0.498,0.189476133650413,6,"no_of_strains"
12,1,0.185158945405603,6,"no_of_strains"
13,1,0.18595085976609,6,"no_of_strains"
14,1,0.189822715379471,6,"no_of_strains"
15,1,0.195254517155045,6,"no_of_strains"
16,1,0.201330707782225,6,"no_of_strains"
17,1,0.207495382795365,6,"no_of_strains"
18,1,0.213400660297556,6,"no_of_strains"
19,1,0.218834958169509,6,"no_of_strains"
20,1,0.223681207596232,6,"no_of_strains"
21,1,0.227886209775665,6,"no_of_strains"
22,1,0.231438341836191,6,"no_of_strains"
1,0,0.00825712418638172,"baseline","no_of_strains"
2,0,0.0227747404416013,"baseline","no_of_strains"
3,0.001,0.0627119139650245,"baseline","no_of_strains"
4,0.007,0.110863132395824,"baseline","no_of_strains"
5,0.016,0.188379640213101,"baseline","no_of_strains"
6,0.058,0.266697576061394,"baseline","no_of_strains"
7,0.099,0.298051142800346,"baseline","no_of_strains"
8,0.13,0.311263451751077,"baseline","no_of_strains"
9,0.181,0.319068094410809,"baseline","no_of_strains"
10,0.335,0.323668993808926,"baseline","no_of_strains"
11,0.699,0.323977604381078,"baseline","no_of_strains"
12,0.937,0.320943913904151,"baseline","no_of_strains"
