"day","prop_fail","adj","param"
1,0,1,"no_strains"
2,0,1,"no_strains"
3,0,1,"no_strains"
4,0,1,"no_strains"
5,0,1,"no_strains"
6,0.002,1,"no_strains"
7,0.002,1,"no_strains"
8,0.002,1,"no_strains"
9,0.025,1,"no_strains"
10,0.067,1,"no_strains"
11,0.079,1,"no_strains"
12,0.1,1,"no_strains"
13,0.111,1,"no_strains"
14,0.121,1,"no_strains"
15,0.132,1,"no_strains"
16,0.143,1,"no_strains"
17,0.154,1,"no_strains"
18,0.205,1,"no_strains"
19,0.346,1,"no_strains"
20,0.448,1,"no_strains"
21,0.531,1,"no_strains"
22,0.619,1,"no_strains"
1,0,2,"no_strains"
2,0,2,"no_strains"
3,0,2,"no_strains"
4,0,2,"no_strains"
5,0,2,"no_strains"
6,0,2,"no_strains"
7,0,2,"no_strains"
8,0.002,2,"no_strains"
9,0.009,2,"no_strains"
10,0.064,2,"no_strains"
11,0.093,2,"no_strains"
12,0.112,2,"no_strains"
13,0.129,2,"no_strains"
14,0.143,2,"no_strains"
15,0.156,2,"no_strains"
16,0.17,2,"no_strains"
17,0.195,2,"no_strains"
18,0.22,2,"no_strains"
19,0.244,2,"no_strains"
20,0.265,2,"no_strains"
21,0.297,2,"no_strains"
22,0.342,2,"no_strains"
1,0,3,"no_strains"
2,0,3,"no_strains"
3,0,3,"no_strains"
4,0,3,"no_strains"
5,0,3,"no_strains"
6,0,3,"no_strains"
7,0.002,3,"no_strains"
8,0.004,3,"no_strains"
9,0.007,3,"no_strains"
10,0.051,3,"no_strains"
11,0.067,3,"no_strains"
12,0.08,3,"no_strains"
13,0.09,3,"no_strains"
14,0.097,3,"no_strains"
15,0.105,3,"no_strains"
16,0.119,3,"no_strains"
17,0.132,3,"no_strains"
18,0.153,3,"no_strains"
19,0.169,3,"no_strains"
20,0.182,3,"no_strains"
21,0.197,3,"no_strains"
22,0.217,3,"no_strains"
1,0,4,"no_strains"
2,0,4,"no_strains"
3,0,4,"no_strains"
4,0,4,"no_strains"
5,0,4,"no_strains"
6,0.001,4,"no_strains"
7,0.004,4,"no_strains"
8,0.007,4,"no_strains"
9,0.008,4,"no_strains"
10,0.038,4,"no_strains"
11,0.051,4,"no_strains"
12,0.058,4,"no_strains"
13,0.071,4,"no_strains"
14,0.074,4,"no_strains"
15,0.08,4,"no_strains"
16,0.09,4,"no_strains"
17,0.102,4,"no_strains"
18,0.117,4,"no_strains"
19,0.124,4,"no_strains"
20,0.135,4,"no_strains"
21,0.139,4,"no_strains"
22,0.158,4,"no_strains"
1,0,5,"no_strains"
2,0,5,"no_strains"
3,0,5,"no_strains"
4,0,5,"no_strains"
5,0,5,"no_strains"
6,0.001,5,"no_strains"
7,0.006,5,"no_strains"
8,0.011,5,"no_strains"
9,0.016,5,"no_strains"
10,0.034,5,"no_strains"
11,0.037,5,"no_strains"
12,0.046,5,"no_strains"
13,0.052,5,"no_strains"
14,0.057,5,"no_strains"
15,0.062,5,"no_strains"
16,0.067,5,"no_strains"
17,0.077,5,"no_strains"
18,0.088,5,"no_strains"
19,0.098,5,"no_strains"
20,0.105,5,"no_strains"
21,0.109,5,"no_strains"
22,0.126,5,"no_strains"
1,0,6,"no_strains"
2,0,6,"no_strains"
3,0,6,"no_strains"
4,0,6,"no_strains"
5,0,6,"no_strains"
6,0.002,6,"no_strains"
7,0.01,6,"no_strains"
8,0.018,6,"no_strains"
9,0.021,6,"no_strains"
10,0.028,6,"no_strains"
11,0.034,6,"no_strains"
12,0.042,6,"no_strains"
13,0.045,6,"no_strains"
14,0.051,6,"no_strains"
15,0.055,6,"no_strains"
16,0.061,6,"no_strains"
17,0.071,6,"no_strains"
18,0.08,6,"no_strains"
19,0.087,6,"no_strains"
20,0.09,6,"no_strains"
21,0.094,6,"no_strains"
22,0.104,6,"no_strains"
1,0,"baseline","no_strains"
2,0,"baseline","no_strains"
3,0,"baseline","no_strains"
4,0,"baseline","no_strains"
5,0,"baseline","no_strains"
6,0.002,"baseline","no_strains"
7,0.01,"baseline","no_strains"
8,0.018,"baseline","no_strains"
9,0.021,"baseline","no_strains"
10,0.028,"baseline","no_strains"
11,0.034,"baseline","no_strains"
12,0.042,"baseline","no_strains"
13,0.045,"baseline","no_strains"
14,0.051,"baseline","no_strains"
15,0.055,"baseline","no_strains"
16,0.061,"baseline","no_strains"
17,0.071,"baseline","no_strains"
18,0.08,"baseline","no_strains"
19,0.087,"baseline","no_strains"
20,0.09,"baseline","no_strains"
21,0.094,"baseline","no_strains"
22,0.104,"baseline","no_strains"
