"day","prop_fail","adj","param"
1,0,0.4,"temp"
2,0,0.4,"temp"
3,0,0.4,"temp"
4,0,0.4,"temp"
5,0,0.4,"temp"
6,3e-04,0.4,"temp"
7,9e-04,0.4,"temp"
8,0.0018,0.4,"temp"
9,0.0027,0.4,"temp"
10,0.0074,0.4,"temp"
11,0.0173,0.4,"temp"
12,0.0434,0.4,"temp"
13,0.0834,0.4,"temp"
14,0.1452,0.4,"temp"
15,0.2206,0.4,"temp"
16,0.2963,0.4,"temp"
17,0.3626,0.4,"temp"
18,0.4247,0.4,"temp"
19,0.4768,0.4,"temp"
20,0.519,0.4,"temp"
21,0.5575,0.4,"temp"
22,0.5907,0.4,"temp"
1,0,0.6,"temp"
2,0,0.6,"temp"
3,0,0.6,"temp"
4,0,0.6,"temp"
5,0,0.6,"temp"
6,4e-04,0.6,"temp"
7,7e-04,0.6,"temp"
8,0.0012,0.6,"temp"
9,0.0018,0.6,"temp"
10,0.0065,0.6,"temp"
11,0.0162,0.6,"temp"
12,0.0434,0.6,"temp"
13,0.0866,0.6,"temp"
14,0.1464,0.6,"temp"
15,0.228,0.6,"temp"
16,0.3051,0.6,"temp"
17,0.3816,0.6,"temp"
18,0.4413,0.6,"temp"
19,0.4918,0.6,"temp"
20,0.532,0.6,"temp"
21,0.5712,0.6,"temp"
22,0.6042,0.6,"temp"
1,0,0.8,"temp"
2,0,0.8,"temp"
3,0,0.8,"temp"
4,1e-04,0.8,"temp"
5,2e-04,0.8,"temp"
6,4e-04,0.8,"temp"
7,0.0012,0.8,"temp"
8,0.0018,0.8,"temp"
9,0.0029,0.8,"temp"
10,0.0083,0.8,"temp"
11,0.0191,0.8,"temp"
12,0.0496,0.8,"temp"
13,0.0912,0.8,"temp"
14,0.1513,0.8,"temp"
15,0.2355,0.8,"temp"
16,0.3132,0.8,"temp"
17,0.3838,0.8,"temp"
18,0.438,0.8,"temp"
19,0.4871,0.8,"temp"
20,0.5291,0.8,"temp"
21,0.5695,0.8,"temp"
22,0.6008,0.8,"temp"
1,0,1,"temp"
2,0,1,"temp"
3,0,1,"temp"
4,0,1,"temp"
5,1e-04,1,"temp"
6,5e-04,1,"temp"
7,9e-04,1,"temp"
8,0.0018,1,"temp"
9,0.0031,1,"temp"
10,0.0075,1,"temp"
11,0.02,1,"temp"
12,0.0537,1,"temp"
13,0.0975,1,"temp"
14,0.1647,1,"temp"
15,0.2503,1,"temp"
16,0.3317,1,"temp"
17,0.4012,1,"temp"
18,0.4583,1,"temp"
19,0.5049,1,"temp"
20,0.5487,1,"temp"
21,0.5849,1,"temp"
22,0.6171,1,"temp"
1,0,1.2,"temp"
2,0,1.2,"temp"
3,0,1.2,"temp"
4,1e-04,1.2,"temp"
5,2e-04,1.2,"temp"
6,9e-04,1.2,"temp"
7,0.0014,1.2,"temp"
8,0.0025,1.2,"temp"
9,0.004,1.2,"temp"
10,0.0096,1.2,"temp"
11,0.023,1.2,"temp"
12,0.0571,1.2,"temp"
13,0.1065,1.2,"temp"
14,0.1767,1.2,"temp"
15,0.2598,1.2,"temp"
16,0.3394,1.2,"temp"
17,0.4037,1.2,"temp"
18,0.4615,1.2,"temp"
19,0.5082,1.2,"temp"
20,0.5525,1.2,"temp"
21,0.5881,1.2,"temp"
22,0.6235,1.2,"temp"
1,0,1.4,"temp"
2,0,1.4,"temp"
3,0,1.4,"temp"
4,0,1.4,"temp"
5,1e-04,1.4,"temp"
6,5e-04,1.4,"temp"
7,0.0013,1.4,"temp"
8,0.0019,1.4,"temp"
9,0.0024,1.4,"temp"
10,0.0091,1.4,"temp"
11,0.0237,1.4,"temp"
12,0.0608,1.4,"temp"
13,0.1154,1.4,"temp"
14,0.1805,1.4,"temp"
15,0.2662,1.4,"temp"
16,0.3488,1.4,"temp"
17,0.4129,1.4,"temp"
18,0.4652,1.4,"temp"
19,0.5173,1.4,"temp"
20,0.558,1.4,"temp"
21,0.5961,1.4,"temp"
22,0.629,1.4,"temp"
1,0,1.6,"temp"
2,0,1.6,"temp"
3,0,1.6,"temp"
4,0,1.6,"temp"
5,5e-04,1.6,"temp"
6,0.0013,1.6,"temp"
7,0.002,1.6,"temp"
8,0.0027,1.6,"temp"
9,0.0031,1.6,"temp"
10,0.0102,1.6,"temp"
11,0.0249,1.6,"temp"
12,0.0662,1.6,"temp"
13,0.1218,1.6,"temp"
14,0.1911,1.6,"temp"
15,0.278,1.6,"temp"
16,0.362,1.6,"temp"
17,0.4284,1.6,"temp"
18,0.4849,1.6,"temp"
19,0.5295,1.6,"temp"
20,0.5709,1.6,"temp"
21,0.6042,1.6,"temp"
22,0.6341,1.6,"temp"
