"day","prop_fail","adj","param"
1,0,0.4,"lag"
2,0,0.4,"lag"
3,0,0.4,"lag"
4,0,0.4,"lag"
5,0.001,0.4,"lag"
6,0.014,0.4,"lag"
7,0.028,0.4,"lag"
8,0.044,0.4,"lag"
9,0.048,0.4,"lag"
10,0.061,0.4,"lag"
11,0.066,0.4,"lag"
12,0.07,0.4,"lag"
13,0.077,0.4,"lag"
14,0.083,0.4,"lag"
15,0.098,0.4,"lag"
16,0.109,0.4,"lag"
17,0.132,0.4,"lag"
18,0.17,0.4,"lag"
19,0.216,0.4,"lag"
20,0.268,0.4,"lag"
21,0.276,0.4,"lag"
22,0.276,0.4,"lag"
1,0,0.6,"lag"
2,0,0.6,"lag"
3,0,0.6,"lag"
4,0,0.6,"lag"
5,0,0.6,"lag"
6,0.002,0.6,"lag"
7,0.016,0.6,"lag"
8,0.034,0.6,"lag"
9,0.045,0.6,"lag"
10,0.055,0.6,"lag"
11,0.064,0.6,"lag"
12,0.068,0.6,"lag"
13,0.075,0.6,"lag"
14,0.078,0.6,"lag"
15,0.092,0.6,"lag"
16,0.103,0.6,"lag"
17,0.115,0.6,"lag"
18,0.144,0.6,"lag"
19,0.166,0.6,"lag"
20,0.201,0.6,"lag"
21,0.244,0.6,"lag"
22,0.274,0.6,"lag"
1,0,0.8,"lag"
2,0,0.8,"lag"
3,0,0.8,"lag"
4,0,0.8,"lag"
5,0,0.8,"lag"
6,0.001,0.8,"lag"
7,0.005,0.8,"lag"
8,0.015,0.8,"lag"
9,0.037,0.8,"lag"
10,0.046,0.8,"lag"
11,0.061,0.8,"lag"
12,0.067,0.8,"lag"
13,0.071,0.8,"lag"
14,0.077,0.8,"lag"
15,0.083,0.8,"lag"
16,0.094,0.8,"lag"
17,0.107,0.8,"lag"
18,0.124,0.8,"lag"
19,0.148,0.8,"lag"
20,0.162,0.8,"lag"
21,0.194,0.8,"lag"
22,0.219,0.8,"lag"
1,0,1,"lag"
2,0,1,"lag"
3,0,1,"lag"
4,0,1,"lag"
5,0,1,"lag"
6,0.001,1,"lag"
7,0.004,1,"lag"
8,0.009,1,"lag"
9,0.015,1,"lag"
10,0.039,1,"lag"
11,0.053,1,"lag"
12,0.064,1,"lag"
13,0.07,1,"lag"
14,0.075,1,"lag"
15,0.079,1,"lag"
16,0.092,1,"lag"
17,0.102,1,"lag"
18,0.112,1,"lag"
19,0.135,1,"lag"
20,0.152,1,"lag"
21,0.162,1,"lag"
22,0.188,1,"lag"
1,0,1.2,"lag"
2,0,1.2,"lag"
3,0,1.2,"lag"
4,0,1.2,"lag"
5,0,1.2,"lag"
6,0.001,1.2,"lag"
7,0.004,1.2,"lag"
8,0.009,1.2,"lag"
9,0.013,1.2,"lag"
10,0.017,1.2,"lag"
11,0.048,1.2,"lag"
12,0.058,1.2,"lag"
13,0.069,1.2,"lag"
14,0.074,1.2,"lag"
15,0.077,1.2,"lag"
16,0.084,1.2,"lag"
17,0.094,1.2,"lag"
18,0.107,1.2,"lag"
19,0.124,1.2,"lag"
20,0.14,1.2,"lag"
21,0.156,1.2,"lag"
22,0.164,1.2,"lag"
1,0,1.4,"lag"
2,0,1.4,"lag"
3,0,1.4,"lag"
4,0,1.4,"lag"
5,0,1.4,"lag"
6,0,1.4,"lag"
7,0.002,1.4,"lag"
8,0.009,1.4,"lag"
9,0.013,1.4,"lag"
10,0.015,1.4,"lag"
11,0.022,1.4,"lag"
12,0.049,1.4,"lag"
13,0.065,1.4,"lag"
14,0.073,1.4,"lag"
15,0.075,1.4,"lag"
16,0.08,1.4,"lag"
17,0.09,1.4,"lag"
18,0.1,1.4,"lag"
19,0.117,1.4,"lag"
20,0.13,1.4,"lag"
21,0.145,1.4,"lag"
22,0.156,1.4,"lag"
1,0,1.6,"lag"
2,0,1.6,"lag"
3,0,1.6,"lag"
4,0,1.6,"lag"
5,0,1.6,"lag"
6,0,1.6,"lag"
7,0.002,1.6,"lag"
8,0.009,1.6,"lag"
9,0.012,1.6,"lag"
10,0.015,1.6,"lag"
11,0.017,1.6,"lag"
12,0.026,1.6,"lag"
13,0.058,1.6,"lag"
14,0.068,1.6,"lag"
15,0.074,1.6,"lag"
16,0.079,1.6,"lag"
17,0.085,1.6,"lag"
18,0.095,1.6,"lag"
19,0.108,1.6,"lag"
20,0.123,1.6,"lag"
21,0.137,1.6,"lag"
22,0.148,1.6,"lag"
