"day","mean","sd_total_count","mode","median"
1,5.88488226503257,0.0614194791865802,"5.9",5.88137341562953
2,6.00841073101503,0.0612932252445272,"6",6.0049058979583
3,6.19344771073075,0.0617419325261913,"6.2",6.18991022313437
4,6.43957842513021,0.0626195929981228,"6.4",6.43598637741412
5,6.73263984011471,0.0633816987636177,"6.7",6.72901379165551
6,7.05377363258936,0.0635241903491107,"7",7.05016986382415
7,7.38544352942985,0.0626731709880092,"7.4",7.38194134981994
8,7.71137495817992,0.0604513544462607,"7.7",7.70807747659108
9,8.01521869195177,0.0566483797419632,"8",8.01223038742055
10,8.28373152512596,0.0515647931387288,"8.3",8.28111333716984
11,8.51120139616626,0.0459271287374926,"8.5",8.5089519913668
12,8.69933228666951,0.0404262932390988,"8.7",8.6974112327994
13,8.85369144814524,0.0354307964443632,"8.9",8.85205081610739
14,8.98048898049251,0.0310238294053604,"9",8.97908827946297
15,9.08508469362161,0.0271539892201518,"9.1",9.08389195135349
16,9.17170659909125,0.0237417124239231,"9.2",9.17069532537213
17,9.24363776879084,0.0207213119348494,"9.2",9.24278445813692
18,9.30347725013409,0.0180480252328983,"9.3",9.30276004921304
19,9.35334923186322,0.0156935862569867,"9.4",9.35274733516196
20,9.39504123846221,0.0136391045679363,"9.4",9.39453486895745
21,9.43007478095705,0.0118663415088937,"9.4",9.42964593523683
22,9.45971993351004,0.0103490985926819,"9.5",9.45935371030416
