"day","mean","sd_total_count","mode","median"
1,5.91898334368028,0.146079297619565,"5.9",5.89215392929018
2,6.07410528835816,0.405618323601055,"5.9",5.95403435818374
3,6.25935624524504,0.652818228335875,"6",6.00483022281341
4,6.44844133479776,0.840044018870618,"6",6.07319134235095
5,6.63537348661045,0.965870385157359,"6",6.17548488684431
6,6.84021668036285,1.0330014586891,"6.1",6.34105704215372
7,7.10525146392612,1.02218283413199,"6.3",6.60691371443479
8,7.43979765031549,0.930488782470962,"6.8",6.96851438071421
9,7.77958053270879,0.807726409517021,"7.2",7.35221382512028
10,8.06847211815577,0.697724225558071,"7.6",7.67962578317719
11,8.2919958770472,0.61431608337145,"7.9",7.93247996519824
12,8.45728329450363,0.556570475926156,"8.1",8.1144736738619
13,8.57731224131699,0.519049537830246,"8.2",8.24308183881346
14,8.66452813410972,0.496177439270735,"8.3",8.33440766702944
15,8.7288113404004,0.483322347962431,"8.4",8.39868867833303
16,8.77735832839311,0.476971778817933,"8.4",8.44833737427355
17,8.81522149485505,0.474683369184183,"8.4",8.48781295441938
18,8.84586125238639,0.474825873404871,"8.4",8.5237500543804
19,8.8716001139244,0.476321348902234,"8.5",8.55936845844742
20,8.89397671364173,0.478465538070173,"8.5",8.59542794694352
21,8.91400275510531,0.480805778458567,"8.5",8.63314069720482
22,8.93234260785177,0.483060442559187,"8.5",8.67303978417515
