"day","percent_packs_nmax"
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,2.2
14,3.3
15,3.3
16,4
17,4.5
18,11.6
19,17.4
20,18.6
21,18.6
22,18.6
