"sampling","sample_id","rep","test","average_conc"
"0919A","S","E","PC",467629.600316581
"0919A","W","B","PC",36679.8887122416
"0919A","W","M","PC",46417.6289453426
"0919A","W","E","PC",52080.7646356034
"0919A","D","B","PC",141023.571713943
"0919A","D","M","PC",17939.9362549801
"0919A","D","E","PC",53508.0747812251
"0919A","H","B","M",9470.91722595078
"0919A","H","M","M",12015.4309371472
"0919A","H","E","M",14525.7498026835
"0919A","T","B","M",14349.7231012658
"0919A","T","M","M",9545.09493670885
"0919A","T","E","M",9896.39115250291
"0919A","V","B","M",17549.1262135922
"0919A","V","M","M",14900.7610350076
"0919A","V","E","M",12668.3622350674
"0919A","S","B","M",13411.2123613312
"0919A","S","M","M",14394.7023809524
"0919A","S","E","M",11430.9457855164
"0919A","W","B","M",50.2464228934817
"0919A","W","M","M",195.442648190916
"0919A","W","E","M",1302.01911589008
"0919A","D","B","M",113.322512984419
"0919A","D","M","M",95.211952191235
"0919A","D","E","M",186.773468575975
"0919A","D0","B","APC",83884.7517730497
"0919A","D0","M","APC",107157.212806026
"0919A","D0","E","APC",139663.865546218
"0919A","D2","B","APC",183679.095596985
"0919A","D2","M","APC",295641.442155309
"0919A","D2","E","APC",157652.518122854
"0919A","D4","B","APC",3892307.69230769
"0919A","D4","M","APC",2280611.00157729
"0919A","D4","E","APC",4697116.42251349
"0919A","D6","B","APC",9958518.23118696
"0919A","D6","M","APC",52004781.7460317
"0919A","D6","E","APC",3355261.90476191
"0919A","D8","B","APC",116499504.950495
"0919A","D8","M","APC",50037239.4809281
"0919A","D8","E","APC",63497500
"0919A","D10","B","APC",162249025.720967
"0919A","D10","M","APC",87790501.7234777
"0919A","D10","E","APC",172488626.126126
"0919A","D12","B","APC",321162500
"0919A","D12","M","APC",122038653.465347
"0919A","D12","E","APC",109003857.848727
"0919A","D14","B","APC",450480281.14018
"0919A","D14","M","APC",92383418.6687672
"0919A","D14","E","APC",466962962.962963
"0919A","D16","B","APC",615933947.157726
"0919A","D16","M","APC",230982513.988809
"0919A","D16","E","APC",1137437619.96161
"0919A","D18","B","APC",1636953887.19512
"0919A","D18","M","APC",1494566082.80255
"0919A","D18","E","APC",1507612598.4252
"0919A","D20","B","APC",279781804.163454
"0919A","D20","M","APC",436229067.930489
"0919A","D20","E","APC",849701609.736946
"0919A","D0","B","GN",43916.1347517731
"0919A","D0","M","GN",56927.2693032015
"0919A","D0","E","GN",72100.8403361345
"0919A","D2","B","GN",113682.467274891
"0919A","D2","M","GN",122334.389857369
"0919A","D2","E","GN",101172.644028997
"0919A","D4","B","GN",2295463.51084813
"0919A","D4","M","GN",1545250.59148265
"0919A","D4","E","GN",2407272.16653816
"0919A","D6","B","GN",5233302.94802172
"0919A","D6","M","GN",16661726.1904762
"0919A","D6","E","GN",2236841.26984127
"0919A","D8","B","GN",61472079.2079208
"0919A","D8","M","GN",28303893.0397169
"0919A","D8","E","GN",24119205.4263566
"0919A","D10","B","GN",95212003.117693
"0919A","D10","M","GN",32677575.6415167
"0919A","D10","E","GN",53598160.6606607
"0919A","D12","B","GN",150114109.697933
"0919A","D12","M","GN",46514732.6732673
"0919A","D12","E","GN",38615716.4576207
"0919A","D14","B","GN",235033190.160094
"0919A","D14","M","GN",48938243.4029145
"0919A","D14","E","GN",246034249.303066
"0919A","D16","B","GN",318064251.401121
"0919A","D16","M","GN",147219624.30056
"0919A","D16","E","GN",699961612.284069
"0919A","D18","B","GN",825850609.756097
"0919A","D18","M","GN",607790207.00637
"0919A","D18","E","GN",699254527.559056
"0919A","D20","B","GN",236367386.276022
"0919A","D20","M","GN",228028830.963665
"0919A","D20","E","GN",568114448.370632
"0919A","D0","B","Y",700.684397163121
"0919A","D0","M","Y",889.787570621469
"0919A","D0","E","Y",2672.26890756303
"0919A","D2","B","Y",4666.44188813963
"0919A","D2","M","Y",3007.38708399366
"0919A","D2","E","Y",1964.51735978634
"0919A","D4","B","Y",10579.0927021696
"0919A","D4","M","Y",3378.68296529968
"0919A","D4","E","Y",2739.98457979954
"0919A","D6","B","Y",18291.1559348332
"0919A","D6","M","Y",37362.6587301587
"0919A","D6","E","Y",6405.5
"0919A","D8","B","Y",64446.5346534653
"0919A","D8","M","Y",58124.0660637043
"0919A","D8","E","Y",38393.8372093023
"0919A","D10","B","Y",79667.1862821512
"0919A","D10","M","Y",97057.2769054003
"0919A","D10","E","Y",105247.297297297
"0919A","D12","B","Y",145518.779809221
"0919A","D12","M","Y",91528.9900990099
"0919A","D12","E","Y",122201.634359559
"0919A","D14","B","Y",205654.041390082
"0919A","D14","M","Y",72907.9952737298
"0919A","D14","E","Y",210886.499402628
"0919A","D16","B","Y",206994.195356285
"0919A","D16","M","Y",223367.705835332
"0919A","D16","E","Y",524971.209213052
"0919A","D18","B","Y",358851.75304878
"0919A","D18","M","Y",612772.093949045
"0919A","D18","E","Y",679417.51968504
"0919A","D20","B","Y",149538.550501157
"0919A","D20","M","Y",92202.9620853081
"0919A","D20","E","Y",424850.804868473
"0919A","D0","B","PC",75496.2765957447
"0919A","D0","M","PC",94240.9416195857
"0919A","D0","E","PC",128067.226890756
"0919A","D2","B","PC",289418.683062277
