"isolate","b_lag","temp_min_lag","b_mu","temp_min_mu","method"
"s12-0116",-0.260119151114984,15.4709138378242,0.0313949147630776,-23.7454707647598,"lm"
"s12-0132",0.243369934326628,0.268311140491303,0.318102965399065,3.54838645243682,"lm"
"s12-0141",NA,NA,0.318102965399065,3.54838645243682,"lm"
"s12-0166",0.207149092987302,6,0.148485636252047,0.157727109547239,"lm"
"s12-0180",-0.301203007046236,18.5145856784787,0.287900355120387,3.50823334036818,"lm"
"s12-0184",0.39230442950101,2.10087683776045,0.344597111119122,4.36314212059063,"lm"
