"isolate","n0","lag","mumax","nmax","temp"
"S12-0116-APC",3.9624477072236,2,0.293734080473533,9.79068010256094,"6"
"S12-0132-APC",3.85860759000121,1,0.360103386309946,9.78960061821055,"6"
"S12-0141-APC",4.19479485118041,1,0.33651770406457,9.57499304710428,"6"
"S12-0166-APC",4.16224135149974,2,0.202171509139217,9.58221686701075,"6"
"S12-0180-APC",3.99219201643671,3,0.228682711605824,9.70258319924219,"6"
"S12-0184-APC",3.82623053351819,1,0.266027759964699,9.70876971296584,"6"
"S12-0116-APC",3.34242268082221,1,0.331149962133997,9.85278562938095,"10"
"S12-0132-APC",3.47712125471966,2,0.286678494227723,9.85377206037586,"10"
"S12-0141-APC",3.7160033436348,2,0.226322830635053,10.0891223272094,"10"
"S12-0166-APC",6.14380144142369,4,0.272425689197179,9.80274578947815,"10"
"S12-0180-APC",6.07838430874819,4,0.116284985299381,10.0100691112111,"10"
"S12-0184-APC",4.75463780269701,2,0.17943934075982,10.0684578049903,"10"
