"isolate","rep","b_mu","temp_min_mu"
"S12-0116","1",0.0527994284994362,-3.15625464554636
"S12-0116","2",0.0642892616117302,-0.804957298672045
"S12-0116","3",0.0887392655843623,2.17209290719767
"S12-0132","1",0.171842855724332,6
"S12-0132","2",0.171842855724332,6
"S12-0132","3",0.0723336975299093,0.497217114981467
"S12-0141","1",-0.249999950000015,10
"S12-0141","2",-0.106514035692275,10
"S12-0141","3",-0.113366628297911,10
"S12-0166","1",0,NA
"S12-0166","2",0,NA
"S12-0166","3",0,NA
"S12-0180","1",0.0160776024088885,-14.4879325157893
"S12-0180","2",0.098426810701138,6
"S12-0180","3",0.0409740996448114,0.391314361573588
"S12-0184","1",0.0382080987689171,-0.592446484579744
"S12-0184","2",-0.0755973461223423,15.3535905987007
"S12-0184","3",0.101179310371823,6
