"isolate","model_type","n0","lag","mumax","nmax","aic","bic","fit","method"
"S12-0116","baranyi",2.40125099254642,6.05017649956579,0.888297238146494,6.04671178041224,172.071857096274,183.455187691355,"yes","nls_lm"
"S12-0132","buchanan_no_lag",2.88183571171483,NA,0.562690647799194,7.07417863494314,246.943962998452,256.050627474516,"yes","nls_lm"
"S12-0141","baranyi",3.1118241477223,4.78952984491744,1.19905720268186,7.34698213571268,136.951364653794,148.334695248874,"yes","nls_lm"
"S12-0166","gompertz",3.08829037464802,0,0.737793035394568,8.40924769193253,215.934853306372,228.088937300589,"yes","nls_lm"
"S12-0180","baranyi",2.50393733604963,14.4659690503221,0.520595889492302,4.97100437733703,240.671741028602,252.825825022818,"yes","nls_lm"
"S12-0184","baranyi",2.31293736686063,2.0154952393382,0.397494927017445,5.15639606824897,283.752020624089,295.846223663072,"yes","nls_lm"
