"isolate","b_lag","temp_min_lag"
"S12-0116",-0.26868561268787,15.2068599013543
"S12-0132",0.226770472103765,-0.417472977098804
"S12-0141",-0.508429515558054,10
"S12-0166",0.200036301639191,6
"S12-0180",-0.324064078119361,17.8123809702825
"S12-0184",0.25016722236253,0.123162986817015
