"pop","model_type","temp","lot","n0","lag","mumax","nmax"
"apc","buchanan_no_lag",6,1,4.38069316176736,NA,0.905008749426295,9.48053294280844
"apc","buchanan_no_lag",6,2,5.40945589869618,NA,0.939163483166234,9.61557568862562
"apc","buchanan_no_lag",6,3,3.35558821211614,NA,0.670959607906073,9.61841181025706
"apc","buchanan_no_lag",6,4,3.67019863123942,NA,0.622636947188886,9.38275945044778
"apc","buchanan_no_lag",6,5,5.42364062646032,NA,0.446598531502305,9.67840291968822
"apc","buchanan_no_lag",6,6,4.98492603138916,NA,0.560535377380619,9.57172024471074
"apc","buchanan_no_lag",10,7,4.2201464204563,NA,0.811706875030613,9.71536828868607
"apc","buchanan_no_lag",10,8,5.97825112077057,NA,0.788363606487627,9.69823839505161
