"day","prop_spoiled","variance","adj","param"
2,0,0.16452622444093,6,"no_of_strains"
3,0.016,0.426171639247591,6,"no_of_strains"
4,0.049,0.705673953640299,6,"no_of_strains"
5,0.075,0.932905600924024,6,"no_of_strains"
6,0.103,1.06709201365381,6,"no_of_strains"
7,0.127,1.0448577463941,6,"no_of_strains"
8,0.161,0.865809374304294,6,"no_of_strains"
9,0.187,0.652421952631258,6,"no_of_strains"
10,0.217,0.48681909493061,6,"no_of_strains"
11,0.248,0.377384250288838,6,"no_of_strains"
12,0.275,0.309770694672668,6,"no_of_strains"
13,0.313,0.269412422721792,6,"no_of_strains"
14,0.345,0.246192051241264,6,"no_of_strains"
15,0.358,0.233600492039917,6,"no_of_strains"
16,0.384,0.227502077788743,6,"no_of_strains"
17,0.41,0.225324300980048,6,"no_of_strains"
18,0.43,0.225459610054699,6,"no_of_strains"
19,0.449,0.226882027420044,6,"no_of_strains"
20,0.467,0.228929271120781,6,"no_of_strains"
21,0.479,0.231174196599148,6,"no_of_strains"
22,0.488,0.233347391165477,6,"no_of_strains"
1,0,0.0142484194094721,"baseline","no_of_strains"
2,0,0.0836013882934305,"baseline","no_of_strains"
3,0.007,0.322418189160706,"baseline","no_of_strains"
4,0.032,0.582594051167979,"baseline","no_of_strains"
5,0.053,0.775343345187545,"baseline","no_of_strains"
6,0.076,0.865015221500322,"baseline","no_of_strains"
7,0.099,0.840864093739711,"baseline","no_of_strains"
8,0.124,0.764382305454002,"baseline","no_of_strains"
9,0.145,0.7127953924494,"baseline","no_of_strains"
10,0.161,0.698476269970462,"baseline","no_of_strains"
11,0.19,0.704041658697795,"baseline","no_of_strains"
12,0.212,0.713985855807421,"baseline","no_of_strains"
13,0.236,0.717064604676423,"baseline","no_of_strains"
14,0.258,0.711017868272872,"baseline","no_of_strains"
15,0.276,0.697320468222279,"baseline","no_of_strains"
16,0.295,0.678137683477552,"baseline","no_of_strains"
17,0.314,0.656831506967821,"baseline","no_of_strains"
18,0.323,0.636260953004691,"baseline","no_of_strains"
19,0.333,0.617763133031549,"baseline","no_of_strains"
20,0.347,0.601509116068849,"baseline","no_of_strains"
21,0.36,0.587181024229968,"baseline","no_of_strains"
22,0.372,0.574371339305074,"baseline","no_of_strains"
