"day","percent_packs_nmax"
1,0
2,0
3,0
4,0.3
5,0.4
6,0.7
7,0.9
8,1
9,1.5
10,2.1
11,3.7
12,5.1
13,7.5
14,9.7
15,11.9
16,13.7
17,15.9
18,18.8
19,20.1
20,22.2
21,24.4
22,25.6
