"day","mean","sd_total_count","mode","median"
1,5.12940864116668,0.119366743314342,"5.1",5.11777173049475
2,5.222993287903,0.289139046642667,"5.1",5.1654201056445
3,5.39594600038161,0.567818799583728,"5.2",5.21603792996702
4,5.5752109315046,0.763278488605554,"5.2",5.27158802368342
5,5.75888228365373,0.880535828451941,"5.2",5.36105860493098
6,5.97797293516574,0.930061944980184,"5.4",5.56981391215589
7,6.26013151629941,0.916986419604844,"5.7",5.91757622157806
8,6.57780952711039,0.874289600449417,"6.3",6.34756727375582
9,6.86902231576362,0.844272108060784,"6.7",6.75287806674594
10,7.10176730171971,0.835748927591571,"7",7.0740900447468
11,7.27509759332791,0.839071903175047,"7.3",7.30917573457396
12,7.40031006460567,0.844976837438412,"7.4",7.46821266887456
13,7.49093795114493,0.846796672570472,"7.6",7.57272325022692
14,7.5584830648841,0.843218754697067,"7.6",7.64070419666444
15,7.61060559383217,0.835057164643403,"7.7",7.68376682527232
16,7.65227677467842,0.823491155676582,"7.7",7.71208179421911
17,7.68683407518833,0.810451421719908,"7.7",7.73097663996038
18,7.71631327623748,0.797659672419692,"7.7",7.7470137546369
19,7.7419751955851,0.785979091981173,"7.7",7.75651604081179
20,7.76471292360302,0.775570187712788,"7.7",7.76335544193308
21,7.78518439007073,0.766277380737529,"7.7",7.76883650408601
22,7.80386342051552,0.757872904453691,"7.7",7.77578846683408
