"day","prop_spoiled","variance","adj","param"
3,0,0.186457305729584,6,"no_of_strains"
4,0.031,0.461386424721318,6,"no_of_strains"
5,0.076,0.738334876802443,6,"no_of_strains"
6,0.111,0.976270156906078,6,"no_of_strains"
7,0.157,1.18435854289397,6,"no_of_strains"
8,0.198,1.36921485992638,6,"no_of_strains"
9,0.232,1.5197851239071,6,"no_of_strains"
10,0.272,1.62230666601516,6,"no_of_strains"
11,0.31,1.66587453602726,6,"no_of_strains"
12,0.348,1.63706357221748,6,"no_of_strains"
13,0.37,1.53110302619433,6,"no_of_strains"
14,0.414,1.36116584123271,6,"no_of_strains"
15,0.448,1.1558187879797,6,"no_of_strains"
16,0.491,0.948219724412381,6,"no_of_strains"
17,0.547,0.762891998164237,6,"no_of_strains"
18,0.61,0.609497059142551,6,"no_of_strains"
19,0.685,0.488451215282502,6,"no_of_strains"
20,0.764,0.398721474265287,6,"no_of_strains"
21,0.827,0.338125605035355,6,"no_of_strains"
22,0.886,0.300430061024012,6,"no_of_strains"
1,0,0.00878737874012909,"baseline","no_of_strains"
2,0,0.0271229473501055,"baseline","no_of_strains"
3,0,0.0949722116830809,"baseline","no_of_strains"
4,0.006,0.221926474691747,"baseline","no_of_strains"
5,0.015,0.38978688746286,"baseline","no_of_strains"
6,0.029,0.5984482198033,"baseline","no_of_strains"
7,0.064,0.8548180345145,"baseline","no_of_strains"
8,0.149,1.10377696026367,"baseline","no_of_strains"
9,0.188,1.28798804781432,"baseline","no_of_strains"
10,0.243,1.39870959213848,"baseline","no_of_strains"
11,0.284,1.43826339512822,"baseline","no_of_strains"
12,0.319,1.4072383467672,"baseline","no_of_strains"
13,0.356,1.31323985965157,"baseline","no_of_strains"
14,0.392,1.17277836760637,"baseline","no_of_strains"
15,0.431,1.01128940304443,"baseline","no_of_strains"
16,0.488,0.849417880427923,"baseline","no_of_strains"
17,0.546,0.697956370256361,"baseline","no_of_strains"
18,0.609,0.567009225520192,"baseline","no_of_strains"
19,0.69,0.467948112117585,"baseline","no_of_strains"
20,0.759,0.403939042669741,"baseline","no_of_strains"
21,0.822,0.366759838632396,"baseline","no_of_strains"
22,0.867,0.345938268569654,"baseline","no_of_strains"
