"day","prop_spoiled","variance","adj","param"
1,0,0.0164465887360681,1,"no_of_strains"
2,0,0.0385029580526481,1,"no_of_strains"
3,0,0.0886124306457459,1,"no_of_strains"
4,0.001,0.178894399667395,1,"no_of_strains"
5,0.001,0.327527306196945,1,"no_of_strains"
6,0.002,0.53718832915758,1,"no_of_strains"
7,0.026,0.763490292765517,1,"no_of_strains"
8,0.061,0.963421759945983,1,"no_of_strains"
9,0.08,1.09598617186454,1,"no_of_strains"
10,0.154,1.16851566292137,1,"no_of_strains"
11,0.21,1.19450752166328,1,"no_of_strains"
12,0.25,1.18536006812868,1,"no_of_strains"
13,0.308,1.15231309865449,1,"no_of_strains"
14,0.347,1.10763722278981,1,"no_of_strains"
15,0.389,1.05422883169163,1,"no_of_strains"
16,0.449,0.993513953281334,1,"no_of_strains"
17,0.508,0.933077709449159,1,"no_of_strains"
18,0.556,0.886879482548703,1,"no_of_strains"
19,0.599,0.858650411274084,1,"no_of_strains"
20,0.633,0.840409093651814,1,"no_of_strains"
21,0.665,0.824781433667099,1,"no_of_strains"
22,0.687,0.808937022783882,1,"no_of_strains"
1,0,0.00866863477630675,2,"no_of_strains"
2,0,0.0202410535217272,2,"no_of_strains"
3,0,0.0622394598900826,2,"no_of_strains"
4,0.003,0.150923560292341,2,"no_of_strains"
5,0.003,0.295945705831751,2,"no_of_strains"
6,0.004,0.510659799562898,2,"no_of_strains"
7,0.055,0.787595299435666,2,"no_of_strains"
8,0.135,1.04776493348398,2,"no_of_strains"
9,0.184,1.22810581114936,2,"no_of_strains"
10,0.229,1.33303972971682,2,"no_of_strains"
11,0.274,1.36063547300395,2,"no_of_strains"
12,0.312,1.31990273817146,2,"no_of_strains"
13,0.358,1.22432690150381,2,"no_of_strains"
14,0.398,1.09133852267952,2,"no_of_strains"
15,0.45,0.938124575522324,2,"no_of_strains"
16,0.5,0.777437341065116,2,"no_of_strains"
17,0.572,0.62214956184746,2,"no_of_strains"
18,0.641,0.491548318403235,2,"no_of_strains"
19,0.713,0.402738906285166,2,"no_of_strains"
20,0.776,0.352464069781842,2,"no_of_strains"
21,0.829,0.325922697618126,2,"no_of_strains"
22,0.871,0.311147703039238,2,"no_of_strains"
1,0,0.00866020513567452,3,"no_of_strains"
2,0,0.0267961433369894,3,"no_of_strains"
3,0,0.0901170105756592,3,"no_of_strains"
4,0.01,0.206507559516298,3,"no_of_strains"
5,0.017,0.367042055260906,3,"no_of_strains"
6,0.025,0.580510252362237,3,"no_of_strains"
7,0.046,0.849777510280989,3,"no_of_strains"
8,0.157,1.11725982664338,3,"no_of_strains"
9,0.208,1.31445873524934,3,"no_of_strains"
10,0.251,1.43048230423443,3,"no_of_strains"
11,0.294,1.45990860393121,3,"no_of_strains"
12,0.333,1.41002777883306,3,"no_of_strains"
13,0.368,1.29578402138465,3,"no_of_strains"
14,0.409,1.13804264122063,3,"no_of_strains"
