"day","prop_spoiled","variance","adj","param"
1,0,0.0104456022173553,1,"no_of_strains"
2,0,0.0461140725693417,1,"no_of_strains"
3,0.006,0.203928975664241,1,"no_of_strains"
4,0.015,0.359724880808424,1,"no_of_strains"
5,0.027,0.478248830463247,1,"no_of_strains"
6,0.038,0.58862023845984,1,"no_of_strains"
7,0.047,0.740568185202238,1,"no_of_strains"
8,0.056,0.930755035195686,1,"no_of_strains"
9,0.063,1.11487580257748,1,"no_of_strains"
10,0.071,1.26133712522484,1,"no_of_strains"
11,0.078,1.35687732534737,1,"no_of_strains"
12,0.085,1.41011554693487,1,"no_of_strains"
13,0.093,1.43059383056731,1,"no_of_strains"
14,0.098,1.42543420241685,1,"no_of_strains"
15,0.104,1.39665190504133,1,"no_of_strains"
16,0.108,1.35300085580721,1,"no_of_strains"
17,0.114,1.30489829747257,1,"no_of_strains"
18,0.124,1.25816580667594,1,"no_of_strains"
19,0.126,1.21470249919723,1,"no_of_strains"
20,0.131,1.17465418836764,1,"no_of_strains"
21,0.133,1.13768339543104,1,"no_of_strains"
22,0.138,1.10344493769652,1,"no_of_strains"
1,0,0.0104642243809873,2,"no_of_strains"
2,0.001,0.0462388605908545,2,"no_of_strains"
3,0.008,0.235912021843727,2,"no_of_strains"
4,0.018,0.450003742888093,2,"no_of_strains"
5,0.038,0.611695103012989,2,"no_of_strains"
6,0.052,0.696474322181742,2,"no_of_strains"
7,0.07,0.73776031525273,2,"no_of_strains"
8,0.089,0.798561866542462,2,"no_of_strains"
9,0.109,0.882557942331701,2,"no_of_strains"
10,0.122,0.959875677444907,2,"no_of_strains"
11,0.141,1.0153617757635,2,"no_of_strains"
12,0.158,1.04904150206015,2,"no_of_strains"
13,0.177,1.06499545475444,2,"no_of_strains"
14,0.189,1.06879123604647,2,"no_of_strains"
15,0.207,1.06439052699753,2,"no_of_strains"
16,0.217,1.05452811874579,2,"no_of_strains"
17,0.227,1.04126001326944,2,"no_of_strains"
18,0.239,1.02593738080327,2,"no_of_strains"
19,0.256,1.00931758847047,2,"no_of_strains"
20,0.272,0.991849635771392,2,"no_of_strains"
21,0.283,0.973818666107626,2,"no_of_strains"
22,0.291,0.955388299262891,2,"no_of_strains"
1,0,0.0121401131496305,3,"no_of_strains"
2,0.001,0.0540687133702866,3,"no_of_strains"
3,0.005,0.288524371599473,3,"no_of_strains"
4,0.028,0.556972813782078,3,"no_of_strains"
5,0.053,0.746212184850488,3,"no_of_strains"
6,0.073,0.819162241399266,3,"no_of_strains"
7,0.097,0.764148739023318,3,"no_of_strains"
8,0.119,0.665267604874372,3,"no_of_strains"
9,0.14,0.596974100998761,3,"no_of_strains"
10,0.168,0.559157183895246,3,"no_of_strains"
11,0.195,0.53717455490961,3,"no_of_strains"
12,0.216,0.523462985784263,3,"no_of_strains"
13,0.233,0.513594058885308,3,"no_of_strains"
14,0.264,0.505659568833642,3,"no_of_strains"
15,0.282,0.498629095205954,3,"no_of_strains"
16,0.307,0.49186821207715,3,"no_of_strains"
17,0.319,0.485243215830261,3,"no_of_strains"
18,0.329,0.478747061149694,3,"no_of_strains"
19,0.338,0.472358167344492,3,"no_of_strains"
20,0.358,0.466035817652046,3,"no_of_strains"
21,0.375,0.459728211989369,3,"no_of_strains"
22,0.382,0.453387799768809,3,"no_of_strains"
1,0,0.0104872545190087,4,"no_of_strains"
2,0,0.0588414197434594,4,"no_of_strains"
3,0.007,0.29939015817545,4,"no_of_strains"
4,0.028,0.568974627859923,4,"no_of_strains"
5,0.056,0.767890678933966,4,"no_of_strains"
6,0.083,0.851834677442583,4,"no_of_strains"
7,0.101,0.77522575144426,4,"no_of_strains"
8,0.123,0.598300983361693,4,"no_of_strains"
9,0.149,0.436388440251802,4,"no_of_strains"
10,0.183,0.325385010402876,4,"no_of_strains"
11,0.205,0.255670478862821,4,"no_of_strains"
12,0.225,0.213588285823338,4,"no_of_strains"
13,0.255,0.188736326696925,4,"no_of_strains"
14,0.286,0.174569050446539,4,"no_of_strains"
15,0.309,0.166899455312829,4,"no_of_strains"
16,0.333,0.163048927617369,4,"no_of_strains"
17,0.35,0.161466204787082,4,"no_of_strains"
18,0.358,0.161239700281992,4,"no_of_strains"
19,0.367,0.161798986871318,4,"no_of_strains"
20,0.387,0.162777252686385,4,"no_of_strains"
21,0.397,0.163936547672892,4,"no_of_strains"
22,0.415,0.165126030005992,4,"no_of_strains"
1,0,0.0173615058548719,5,"no_of_strains"
